id,code,name,categoria_ids,activar,union_id/id
employee_management_extended.record_000047,0012/06RTA,SANTA FE,,FALSE,
employee_management_extended.record_000048,0012/88,FED. OBR. TUCUM. DE LA INDUSTRIA AZUCARERA Y OTROS C/ CENTRO AZUCARERO ARG. Y OTROS,,FALSE,
employee_management_extended.record_000049,0012/89 E,INST. DE SERV. SOC. PARA LA ACTIV. RURAL Y AFINES / UNION TRABAJADORES DE ENT. DEPORTIVAS Y CIVILES,,FALSE,
employee_management_extended.record_000050,0012/92RTA,BUENOS AIRES Y LA PAMPA,,FALSE,
employee_management_extended.record_000051,0012/96RTA,SALTA Y JUJUY,,FALSE,
employee_management_extended.record_000052,0012/97RTA,BUENOS AIRES Y LA PAMPA,,FALSE,
employee_management_extended.record_000053,0013/06RTA,SANTA FE,,FALSE,
employee_management_extended.record_000054,0013/75 E,S.A. FRANCO ARGENTINA DE AUTOMOTORES / SIND. de MECÁNICOS Y AFINES DEL TRANSP. AUTOMOTOR,,FALSE,
employee_management_extended.record_000055,0013/88,SINDICATO OBREROS MARITIMOS UNIDOS c/CENTRO MARITIMOS DE ARMADORES ARGENTINOS.,,FALSE,
employee_management_extended.record_000056,0013/89 E,TRANSAX SACIF. / SIND. de MECÁNICOS Y AFINES DEL TRANSP. AUTOMOTOR,,FALSE,
employee_management_extended.record_000057,0013/97RTA,SANTIAGO DEL ESTERO,,FALSE,
employee_management_extended.record_000058,0014/06RTA,BUENOS AIRES Y LA PAMPA,,FALSE,
employee_management_extended.record_000059,0014/75,ASOCIACION VIAJANTES DE COMERCIO DE LA REPUBLICA ARGENTINA Y FEDERACION DE VIAJANTES DE LA ARGENTINA c/ CAMARA ARGENTINA DE LA INDUSTRIA DE PRODUCTOS DE HIGIENE Y TOCADOR.,,FALSE,
employee_management_extended.record_000060,0014/75 E,FORD MOTORS ARGENTINA / SIND. de MECÁNICOS Y AFINES DEL TRANSP. AUTOMOTOR,,FALSE,
employee_management_extended.record_000061,0014/88,SIND.DE ELECTRICISTAS-ELECTRONICISTAS NAVALES c/CENTRO MARITIMO DE ARMADORES ARG.,,FALSE,
employee_management_extended.record_000062,0014/89 E,MERCEDES BENZ ARG. S.A. / SIND. de MECÁNICOS Y AFINES DEL TRANSP. AUTOMOTOR,,FALSE,
employee_management_extended.record_000063,0014/92RTA,BUENOS AIRES Y LA PAMPA,,FALSE,
employee_management_extended.record_000064,0014/96RTA,BUENOS AIRES Y LA PAMPA,,FALSE,
employee_management_extended.record_000065,0015/06RTA,BUENOS AIRES Y LA PAMPA,,FALSE,
